AREA_CODE,AREA_NAME,COMPONENT,SEX,AGE_GROUP,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047
E09000023,Lewisham,Internal migration in,males,1,164.039,160.59,162.619,164.243,164.121,164.356,165.095,165.504,166.232,167.075,167.996,168.956,169.949,171.04,172.204,173.448,174.776,176.138,177.501,178.838,180.126,181.259,182.176,182.926,183.506
E09000023,Lewisham,Internal migration in,males,2,147.062,155.924,151.823,151.873,153.003,152.866,153.034,153.689,154.059,154.688,155.417,156.215,157.061,157.947,158.922,159.964,161.08,162.273,163.498,164.723,165.923,167.077,168.088,168.9,169.561
E09000023,Lewisham,Internal migration in,males,3,129.829,125.081,131.469,126.309,126.015,126.909,126.857,127.058,127.57,127.861,128.354,128.926,129.556,130.228,130.939,131.724,132.565,133.466,134.432,135.424,136.415,137.384,138.315,139.127,139.777
E09000023,Lewisham,Internal migration in,males,4,116.523,117.998,113.234,117.506,112.526,112.265,113.14,113.192,113.387,113.805,114.052,114.473,114.961,115.5,116.078,116.695,117.378,118.112,118.898,119.742,120.609,121.476,122.323,123.135,123.842
E09000023,Lewisham,Internal migration in,males,5,80.82,81.142,81.715,77.348,80.069,76.686,76.557,77.194,77.236,77.389,77.66,77.819,78.094,78.416,78.775,79.158,79.57,80.028,80.521,81.05,81.617,82.203,82.786,83.356,83.901
E09000023,Lewisham,Internal migration in,males,6,67.884,66.922,66.793,66.614,62.992,65.096,62.375,62.329,62.855,62.88,62.988,63.192,63.314,63.529,63.779,64.06,64.361,64.688,65.053,65.446,65.869,66.323,66.792,67.259,67.715
E09000023,Lewisham,Internal migration in,males,7,66.548,64.445,63.257,62.644,62.222,58.92,60.902,58.427,58.409,58.897,58.925,59.019,59.199,59.31,59.506,59.735,59.992,60.269,60.57,60.906,61.269,61.659,62.08,62.513,62.944
E09000023,Lewisham,Internal migration in,males,8,62.706,63.685,61.551,59.94,59.218,58.819,55.851,57.723,55.365,55.346,55.8,55.821,55.896,56.054,56.155,56.334,56.543,56.778,57.034,57.315,57.628,57.966,58.33,58.723,59.128
E09000023,Lewisham,Internal migration in,males,9,59.971,60.184,60.986,58.49,56.867,56.217,55.85,53.057,54.865,52.655,52.64,53.067,53.088,53.162,53.312,53.406,53.575,53.772,53.994,54.235,54.499,54.794,55.112,55.456,55.826
E09000023,Lewisham,Internal migration in,males,10,59.196,58.808,58.785,59.073,56.454,54.961,54.293,54.028,51.303,52.984,50.939,50.915,51.333,51.362,51.453,51.62,51.721,51.894,52.095,52.318,52.559,52.82,53.112,53.425,53.763
E09000023,Lewisham,Internal migration in,males,11,60.684,59.759,59.162,58.744,58.983,56.458,55.009,54.388,54.078,51.477,53.101,51.029,51.002,51.415,51.444,51.524,51.68,51.779,51.948,52.143,52.361,52.598,52.856,53.144,53.455
E09000023,Lewisham,Internal migration in,males,12,58.424,57.123,56.102,55.212,54.751,55.031,52.72,51.42,50.884,50.597,48.166,49.672,47.794,47.775,48.161,48.191,48.267,48.418,48.509,48.666,48.848,49.05,49.27,49.509,49.776
E09000023,Lewisham,Internal migration in,males,13,51.714,52.41,51.098,49.922,49.011,48.591,48.851,46.812,45.688,45.214,44.91,42.796,44.088,42.408,42.388,42.725,42.753,42.82,42.947,43.028,43.166,43.325,43.502,43.694,43.905
